City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Auki,SB,81.28,overcast clouds,-8.7676,160.7034,Auki Motel
409,Asyut,EG,53.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
411,Muriwai Beach,NZ,71.19,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
417,Strzegom,PL,50.49,clear sky,50.9626,16.3501,Strzegom Apartments
420,Manati,PR,81.57,scattered clouds,18.4275,-66.4921,Manati World Point Inn
421,Ternate,ID,76.37,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
422,Lokoja,NG,87.21,overcast clouds,7.8024,6.743,Hotel Charvid
423,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
424,Korschenbroich,DE,52.93,clear sky,51.1914,6.5135,B&B Hotel Mönchengladbach
427,Axim,GH,81.48,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
428,Vanimo,PG,79.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
434,Lufilufi,WS,83.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
436,Machali,CL,79.88,clear sky,-34.1833,-70.6667,Mining House
437,Liwale,TZ,68.56,broken clouds,-9.7667,37.9333,Samoma lodge
439,Te Anau,NZ,65.61,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
440,Geraldton,AU,59.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
441,Ponta Delgada,PT,60.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
442,Pagudpud,PH,77.85,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
443,Flagstaff,US,58.66,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
444,Kunda,IN,74.52,scattered clouds,25.7167,81.5167,Girja Sankar And Arvind gupta
447,Tura,IN,72.5,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
450,Vila Velha,BR,71.55,mist,-20.3297,-40.2925,Hotel Vitória Palace
451,Ambatondrazaka,MG,65.66,scattered clouds,-17.8333,48.4167,MANAMBINA Hotel
452,Mogadishu,SO,78.96,clear sky,2.0371,45.3438,Hotel Juba
453,Amahai,ID,78.26,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
457,Playas,EC,79.09,broken clouds,-2.6333,-80.3833,Hostal Promenade
458,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
462,Kaohsiung,TW,73.35,mist,22.6163,120.3133,御宿商旅-中山館
464,Ulladulla,AU,68.9,overcast clouds,-35.35,150.4667,Sandpiper Motel
466,Havelock,US,70.99,scattered clouds,34.8791,-76.9013,Sherwood Motel
469,Pacific Grove,US,83.88,clear sky,36.6177,-121.9166,Lovers Point Inn
470,Santa Catarina De Tepehuanes,MX,73.83,clear sky,25.35,-105.7333,hotel plaza
471,Codo,BR,75.42,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
472,Port Macquarie,AU,67.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
474,Uniao Dos Palmares,BR,78.39,overcast clouds,-9.1628,-36.0319,Quilombo Hotel Fazenda
475,Jizan,SA,81.54,clear sky,17.3333,42.6667,شهدان. ابوالحجر
478,Bambanglipuro,ID,77.65,overcast clouds,-7.95,110.2833,Puri Brata
480,Lannion,FR,51.78,clear sky,48.75,-3.4167,Hotel Arcadia
481,Port Hedland,AU,89.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
483,Edson,CA,57.34,clear sky,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
484,Porto Novo,BJ,83.12,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
485,Kapit,MY,72.32,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
486,Dixon,US,87.06,clear sky,38.4455,-121.8233,Best Western Plus Dixon Davis
489,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
492,Menongue,AO,63.61,broken clouds,-14.6585,17.691,Ritz Lauca
493,Torrington,US,52.21,broken clouds,41.8007,-73.1212,The Yankee Pedlar Inn
494,Uvira,CD,71.55,light rain,-3.4067,29.1458,Hotel Suzana
495,San Policarpo,PH,80.55,broken clouds,12.1791,125.5072,Agapita M. Nicart
496,Buta,CD,68.79,light rain,2.7858,24.73,HOTEL BISO NA BISO
497,Ancud,CL,55.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
498,Cervo,ES,52.97,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
