City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Iralaya,HN,15.0,-83.2333,81.32,67,36,12.91,scattered clouds
302,Tsiroanomandidy,MG,-18.7667,46.0333,66.56,95,91,1.34,overcast clouds
303,Reforma,MX,18.1,-91.0167,97.25,31,3,8.3,clear sky
304,Aykhal,RU,66.0,111.5,0.64,98,100,4.43,overcast clouds
305,Maragogi,BR,-9.0122,-35.2225,79.5,80,84,7.14,broken clouds
306,Muros,ES,42.7762,-9.0603,54.84,90,100,6.71,light rain
307,Irbit,RU,57.6705,63.071,28.4,83,96,12.46,overcast clouds
308,Akdepe,TM,42.0551,59.3788,37.49,32,100,5.19,overcast clouds
309,Antsohihy,MG,-14.8796,47.9875,74.91,91,42,4.05,scattered clouds
310,Zanjan,IR,36.6736,48.4787,27.95,72,100,8.95,overcast clouds
311,Bara,NG,10.3744,10.7288,84.92,12,64,5.17,broken clouds
312,Kavaratti,IN,10.5669,72.642,82.35,65,89,7.52,overcast clouds
313,Pangnirtung,CA,66.1451,-65.7125,-7.6,71,20,2.3,few clouds
314,Pahrump,US,36.2083,-115.9839,75.83,18,9,17.0,clear sky
315,Bayir,TR,37.2687,28.2167,36.12,80,77,4.05,broken clouds
316,Villablino,ES,42.9393,-6.3194,49.77,93,100,8.32,overcast clouds
317,Ostersund,SE,63.1792,14.6357,32.45,93,100,12.66,overcast clouds
318,Abu Samrah,SY,35.3029,37.1841,43.21,69,76,5.46,broken clouds
319,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,75,11.5,broken clouds
320,Kargopol,RU,61.5071,38.9456,33.6,92,100,5.86,overcast clouds
321,Great Falls,US,47.5002,-111.3008,58.66,22,0,13.8,clear sky
322,Moerai,PF,-22.4333,-151.3333,81.1,72,100,9.57,overcast clouds
323,Basco,PH,20.4487,121.9702,77.76,75,100,6.6,overcast clouds
324,Yulara,AU,-25.2406,130.9889,75.04,38,12,8.05,few clouds
325,Tigil,RU,57.8,158.6667,17.82,83,100,5.41,overcast clouds
326,Verkhnyaya Toyma,RU,62.2349,44.9985,27.88,96,72,7.4,broken clouds
327,Hambantota,LK,6.1241,81.1185,79.14,100,40,3.44,scattered clouds
328,Omboue,GA,-1.5746,9.2618,78.78,85,89,3.94,overcast clouds
329,Sorong,ID,-0.8833,131.25,79.0,84,100,9.15,overcast clouds
330,Tommot,RU,58.9564,126.2925,13.3,97,99,3.6,overcast clouds
331,Karwar,IN,14.8,74.1333,79.27,81,100,4.18,overcast clouds
332,Raga,SS,8.4596,25.678,82.17,10,93,3.18,overcast clouds
333,Birjand,IR,32.8663,59.2211,48.67,31,0,4.61,clear sky
334,Inhambane,MZ,-23.865,35.3833,74.91,75,71,8.79,light rain
335,Buenos Aires,AR,-34.6132,-58.3772,73.29,81,75,4.61,broken clouds
336,Sistranda,NO,63.7256,8.834,40.96,84,35,20.78,scattered clouds
337,Moissala,TD,8.3404,17.7663,82.0,10,100,0.98,overcast clouds
338,Santa Maria,BR,-29.6842,-53.8069,76.3,73,40,5.75,scattered clouds
339,Cockburn Town,TC,21.4612,-71.1419,77.76,72,1,20.8,clear sky
340,Mount Gambier,AU,-37.8333,140.7667,46.31,93,40,6.91,scattered clouds
341,Ovruch,UA,51.3246,28.8035,42.01,70,0,4.27,clear sky
342,Camapua,BR,-19.5314,-54.0439,79.52,66,52,2.51,broken clouds
343,Verkhovazhye,RU,60.7472,42.0465,31.12,96,66,6.15,broken clouds
